ModesCode;LabelWeb;ActiveLanguage;DescriptionLong;Characteristics;composition;type
EQYS700005;ESPADRILLE (SBKM);master;"&nbsp;";"Low profile laced upper with crush-backed wearability
Elasticated instep for secure fit
Natural cork covered memory foam insole for instant comfort
Jute wrapped sidewall
Espadrille inspired outsole texture";Upper: 82,95% Cotton Textile/ 12% Suede/ 4% Elastic/ 1.05% Metal, Lining: 100% Cotton Textile, Outsole: 60% Textile, 40% Tpr;Shoes
EQJL100003;W EMBARK RF (TKS0);master;"&nbsp;";"Lightweight one piece injected style
Double adjustable strap with plastic buckles
Moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 95% Eva/ 5% Plastic Buckle Synthetic, Lining: N/A, Outsole: 100% Eva;Sandals
EQJL100006;W CLOGG (CRE0);master;"&nbsp;";"Lightweight one piece injected style
Closed toe with nylon strap
Moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 85% Eva/ 12% Polyester Textile/ 3% Plastic Buckle Synthetic, Lining: N/A, Outsole: 100% Eva;Sandals
EQBL100031;MOLOKART26YTH (BYC0);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver wordmark
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
AQBL100595;RIVI WORDMARKII (KTP0);master;"&nbsp;";"__Fabric:__ Water friendly soft TPR upper fabric
__Footbed:__ Ultra soft Hydroboundª footbed with anatomically correct contours
__Outsole:__ Rubber slip resistant branded outsole
__Lining:__ Microfiber liner";Upper: Synthetic, Outsole: Rubber ;Slider Sandals
EQBL100031;MOLOKART26YTH (KVJ6);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver wordmark
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
EQYL100063;CARVER (SDC);master;"&nbsp;";"Multi layered PU coated strap with a soft recycled polyester woven lining
Finely woven nylon toe post made with recycled nylon fibres
Extra thick Hydroboundª footbed for lasting comfort
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 95%Synthetic + 5% Textile, Lining: 100% Textile, Outsole: 100% Sponge Rubber;Sandals
EQYL100066;CARVER (CVJ1);master;"&nbsp;";"Soft suede leather upper with contrast stitching
Finely woven nylon toe post with herringbone texture
Compression moulded, slip resistant, textured footbed
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 94% Suede Leather/ 6% Textile Nylon, Lining: 100% Suede Leather, Outsole: 100% Tpr;Sandals
EQYL100089;SESSIONS SLIDE (CRE0);master;"&nbsp;";"One piece synthetic upper with logo emboss
Soft polyester jersey lining and thick padding
One piece injection moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 100% Synthetic Pu, Lining: 100% Textile, Outsole: 100% Eva;Sandals
AQYL100047;MONKEY ABYSS (NVY);master;"&nbsp;";"Washed cotton canvas upper with frayed edges
Soft polyester-lined strap
Double layered toe-post
Dual-density mid-sole for comfort and support
Anatomically correct arch support
Outsole with logo herringbone pattern for traction";Upper: Textile / Lining: Textile / Outsole: Textile - Rubberlon For Non-USA;Sandals
EQYL100080;RIVI (CVJ2);master;"&nbsp;";"Water friendly vegan leather upper with breathable textured liner
Ultra soft Hydroboundª footbed with anatomically correct contours
Slip resistant branded outsole";Upper: 95% Faux Suede/ 5% Polyester Textile, Lining: 100% Polyester Textile, Outsole: 100% Tpr;Sandals
AQYL101350;MONKEY CAGED AT (CAM);master;"&nbsp;";"__Upper:__ Completely adjustable and water-friendly neoprene upper with removable heel strap
__Technology:__ EVA for comfort and durability
Lasered EVA deck for added slip resistance
Midsole: Dual-density EVA midsole for comfort and support
Anatomically correct arch support
__Outsole:__ Multi-width herringbone traction patterned durable gum rubber outsole
__Branding:__ Integrated repeating Quiksilver logos on the outsole";Upper: Textile/Outsole: Rubber;Sandals
AQYL101381;DOCKYARD (TKS0);master;"&nbsp;";"__Upper:__ Synthetic upper
__Footbed:__ One-piece injection moulded footbed with heel cup and arch contours
__Outsole:__ Engineered outsole design for flexibility and grip
__Lining:__ Textile lining";Upper: Synthetic/Lining: Textile/Outsole: EVA;Sandals
EQYL100092;CLOUD CRUSHER (KVJ1);master;"&nbsp;";"Light weight one piece injected style
Single strap with Quicksilver laser engraved logo
Moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 100% Eva, Lining: N/A, Outsole: 100% Eva;Sandals
EQYL100093;MOLOKAI LAYBACK (KVJ6);master;"&nbsp;";"Canvas strap with a soft polyester woven lining
Finely woven nylon toe post with herringbone texture
Uniform thickness, slip resistant, textured footbed with seasonal boardshort and tee graphics
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Cotton Textile, Lining: 100% Polyester Textile, Outsole: 100% Sponge Rubber;Sandals
EQJL100003;W EMBARK RF (KVJ1);master;"&nbsp;";"Lightweight one piece injected style
Double adjustable strap with plastic buckles
Moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 95% Eva/ 5% Plastic Buckle Synthetic, Lining: N/A, Outsole: 100% Eva;Sandals
EQJL100004;W DOCKYARD RF (CMO);master;"&nbsp;";"One piece strap
One piece injection moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 100% Synthetic Eva, Lining: 100% Textile Polyester, Outsole: 100% Synthetic Tpr;Sandals
EQJL100003;W EMBARK RF (CMO);master;"&nbsp;";"Lightweight one piece injected style
Double adjustable strap with plastic buckles
Moulded footbed with heel cup and arch contours
Engineered outsole design for flexibility and grip";Upper: 95% Eva/ 5% Plastic Buckle Synthetic, Lining: N/A, Outsole: 100% Eva;Sandals
EQJL100002;WRIVERSESSIONMU (KVJ0);master;"&nbsp;";"Completely adjustable water friendly neoprene upper with removeable heel strap
Cork deck for natural slip resistance
Dual density EVA mid-sole for comfort and support
protected toe with water draining mesh vamp
Repeating Quiksilver logos integrated into a multi width herringbone traction pattern on a durable rubber foam outsole";Upper: 65% Textile/ 25% Synthetic Pu / 10% Zipper, Lining: 100% Synthetic Textile, Insole: 100% Cork Pu  Outsole: 100% Sponge Rubber.;Neoprene Mules
AQYL101309;MOLOKAI RECYCLE (CRE0);master;"&nbsp;";"__Fabric:__ Synthetic upper fabric
__Footbed:__ Slip-resistant textured footbed made out of recycled EVA
__Upper Details:__ Flexible 3-point synthetic rubber strap upper
__Outsole:__ Re-engineered blown rubber outsole incorporates multi-angled logo lugs for added traction and recycled rubber
__Branding:__ Quiksilver wordmark and fine mould Mountain Wave logo
";Upper: Synthetic / Outsole: Sponge Rubber;Flip-Flops
EQBL100031;MOLOKART26YTH (BKJ6);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver wordmark
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
AQYL100047;MONKEY ABYSS (G02);master;"&nbsp;";"Washed cotton canvas upper with frayed edges
Soft polyester-lined strap
Double layered toe-post
Dual-density mid-sole for comfort and support
Anatomically correct arch support
Outsole with logo herringbone pattern for traction";Upper: Textile / Lining: Textile / Outsole: Textile - Rubberlon For Non-USA;Sandals
EQYL100093;MOLOKAI LAYBACK (KVJ8);master;"&nbsp;";"Canvas strap with a soft polyester woven lining
Finely woven nylon toe post with herringbone texture
Uniform thickness, slip resistant, textured footbed with seasonal boardshort and tee graphics
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Cotton Textile, Lining: 100% Polyester Textile, Outsole: 100% Sponge Rubber;Sandals
AQYL101380;EMBARK (BLC0);master;"&nbsp;";"__Upper:__ Synthetic upper
__Footbed:__ One-piece injection moulded footbed with heel cup and arch contours
__Outsole:__ Engineered outsole design for flexibility and grip
__Lining:__ Textile lining";Upper: Synthetic/Outsole: EVA;Sandals
EQYL100078;MONKEY (KVJ2);master;"&nbsp;";"Water friendly vegan nubuck upper
Finely woven nylon toe post with herringbone texture
Soft polyester woven strap lining
Dual density EVA mid-sole for comfort and support
Anatomically correct arch support
Repeating Quiksilver logos integrated into a multi width herringbone traction pattern on a durable gum rubber outsole";Upper: 90% Synthetic/ 10% Nylon Textile, Lining: 100% Nylon Textile, Outsole: 100% Rubber;Sandals
AQYL101353;RIVI SUEDE (SND);master;"&nbsp;";"__Fabric:__ Adjustable suede leather upper fabric
__Footbed:__ Ultra soft Hydroboundª footbed with anatomically correct contours
__Outsole:__ Slip resistant branded outsole
Rubber outsole
__Lining:__ Microfiber liner
__Other Features:__ Vegan suede covered";Upper: Suede, Outsole: Rubber;Slider Sandals
EQYL100083;MOLOKAISTRIPE26 (BKJ6);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver seasonal art from boardshorts
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
AQYL101380;EMBARK (TKS0);master;"&nbsp;";"__Upper:__ Synthetic upper
__Footbed:__ One-piece injection moulded footbed with heel cup and arch contours
__Outsole:__ Engineered outsole design for flexibility and grip
__Lining:__ Textile lining";Upper: Synthetic/Outsole: EVA;Sandals
EQYL100091;MOLOKAI SCREEN (KTP0);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver printed art
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
AQBL100626;EMBARK (BLC0);master;"&nbsp;";"__Upper:__ Synthetic upper fabric
__Outsole:__ EVA outsole";Upper:Synthetic/Outsole:Eva;Flip-Flops
EQYL100083;MOLOKAISTRIPE26 (CRE6);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver seasonal art from boardshorts
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
EQYL100078;MONKEY (CVJ3);master;"&nbsp;";"Water friendly vegan nubuck upper
Finely woven nylon toe post with herringbone texture
Soft polyester woven strap lining
Dual density EVA mid-sole for comfort and support
Anatomically correct arch support
Repeating Quiksilver logos integrated into a multi width herringbone traction pattern on a durable gum rubber outsole";Upper: 90% Synthetic/ 10% Nylon Textile, Lining: 100% Nylon Textile, Outsole: 100% Rubber;Sandals
EQYL100094;RIVERSESSIONMUL (BLK);master;"&nbsp;";"Completely adjustable water friendly neoprene upper with removeable heel strap
Cork deck for natural slip resistance
Dual density EVA mid-sole for comfort and support
protected toe with water draining mesh vamp
Repeating Quiksilver logos integrated into a multi width herringbone traction pattern on a durable rubber foam outsole";Upper: 65% Textile/ 25% Synthetic Pu / 10% Zipper, Lining: 100% Synthetic Textile, Insole: 100% Cork Pu  Outsole: 100% Sponge Rubber.;Sandals
EQYL100093;MOLOKAI LAYBACK (KTP6);master;"&nbsp;";"Canvas strap with a soft polyester woven lining
Finely woven nylon toe post with herringbone texture
Uniform thickness, slip resistant, textured footbed with seasonal boardshort and tee graphics
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Cotton Textile, Lining: 100% Polyester Textile, Outsole: 100% Sponge Rubber;Sandals
EQBL100032;MOLOKLAYBK26YTH (KVJ6);master;"&nbsp;";"Canvas strap with a soft polyester woven lining
Finely woven nylon toe post with herringbone texture
Uniform thickness, slip resistant, textured footbed with seasonal boardshort and tee graphics
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Cotton Textile, Lining: 100% Polyester Textile, Outsole: 100% Sponge Rubber;Sandals
EQTL100003;MONKEYCAGETODDL (KVJ1);master;"&nbsp;";"Fully adjustable polyester webbing upper
Dual density EVA mid-sole for comfort and support
Anatomically correct arch support
Repeating Quiksilver logos integrated into a multi width herringbone traction pattern on a durable rubber outsole";Upper: 90% Polyester Textile/ 10% Plastic, Lining: 100% Polyester Textile, Outsole: 100% Eva;Sandals
EQBL100032;MOLOKLAYBK26YTH (BKJ6);master;"&nbsp;";"Canvas strap with a soft polyester woven lining
Finely woven nylon toe post with herringbone texture
Uniform thickness, slip resistant, textured footbed with seasonal boardshort and tee graphics
Moulded contour midsole with built-in arch, heel, and forefoot support
Engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Cotton Textile, Lining: 100% Polyester Textile, Outsole: 100% Sponge Rubber;Sandals
EQYL100082;MOLOKAI ART 26 (KVJ6);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver seasonal art from boardshorts
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
EQYL100082;MOLOKAI ART 26 (BKJ6);master;"&nbsp;";"Flexible 3 point synthetic rubber strap with Quiksilver seasonal art from boardshorts
Slip resistant textured footbed
Pop colour pin lines in sidewall tying into colourway
Re-engineered blown rubber outsole incorporates multi angled logo lugs for added traction";Upper: 100% Synthetic Tr, Lining: 100% Synthetic Tr, Outsole: 100% Sponge Rubber;Flip-Flops
AQYL101355;RIVI NUBUCK SLI (CVJ2);master;"&nbsp;";"__Fabric:__ Water friendly vegan synthetic friendly upper fabric
__Footbed:__ Ultra soft Hydroboundª footbed with anatomically correct contours
__Outsole:__ Slip resistant branded outsole
Sponge rubber outsole
__Lining:__ Microfiber liner";Upper: Synthetic, Outsole: Rubber;Slide Sandals
